Star;Date;Colour;Review Title;Review Text
5;14-ott-18;Stile: InissiaColore: Nero Utile Segnala un abuso;DeLonghi- Nespresso Inissia EN80.B- Macchina per Caffè Espresso;tutto bene. Fa il caffè buonissimo ed è piccola. Non posso dare opinioni sulla durata perché l’ho presa da poco tempo.
5;09-ott-18;Stile: Inissia & AeroccinoColore: Nero Utile Segnala un abuso;Ottimo acquisto;Prodotto bello- facile da usare ed eccellente per qualità di erogazione di caffè e cappuccino. Facile la manutenzione
3;08-ott-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Macchina molto basica- semplicissima da usare-;caffè molto buono e subito caldo- forse un pò lungo- quindi attenzione a controllare la quantità che volete (a me piace corto- quindi devo stare subito pronto).L'unico difetto secondo me è il contenitore capsule molto piccolo (solo 5/6)- che va svuotato in continuazione.
4;08-ott-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;Semplice ma efficace;Pochi automatismi- caricamento manuale. Fa bene il suo dovere. Per ora nessun rilievo da fare. E la trovo anche graziosa
5;07-ott-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Ottimo rapporto qualità prezzo;Non ingombranteOttimo caffè sia con le capsule Nespresso che con le compatibiliOttimo prezzoKit degustazione omaggio60 capsule in omaggio su i primi 2 ordini
5;06-ott-18;Stile: InissiaColore: White Utile Segnala un abuso;Macchinetta per caffè in cialda di ottima qualità;Ottimo i caffè e macchinetta facile da usare e pulire! L'ho presa bianca e ancora oggi sembra nuova
3;02-ott-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Buona ma;Buona macchina per il caffè do solo tre stelle perché il caffè espresso me lo fa troppo lungo e dalle istruzioni non si riesce aa capire come regolare
3;01-ott-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Caffè non eccellente- nella media in questa fascia di prezzo- durabilità pessima.;Ho acquistato questa macchina del caffè a gennaio di quest'anno- dopo qualche mese il caffè ha cominciato ad uscire sempre più tiepido fino al punto da essere diventato imbevibile- così ho deciso di chiedere la riparazione- essendo l'articolo venduto da amazon. Non l'avessi mai fatto. Ho spedito la macchina del caffè il 18 agosto- il reso è stato ricevuto il 5 settembre e da allora non ho più notizie e non mi è possibile monitorare l'ordine di reso.Sono estremamente insoddisfatto del prodotto e dell'assistenza.Esigo spiegazioni.
5;30-set-18;Stile: Inissia & AeroccinoColore: Nero Utile Segnala un abuso;Qualita nespresso;La macchina è piccola e facile da usare-il caffe é ottimo e con l aerocino oramai la colazione la facciamo a casa-fa un ottimo cappuccino
5;29-set-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Eccezionale.;Superba macchinetta del caffè- la sto usando con le capsule Lavazza 8 e 10 e fa un caffè a dir poco fantastico. C'è solo da dire che nella confezione non ci sono le 16 capsule promesse dall'inserzione.
5;27-set-18;Stile: InissiaColore: Nero Utile Segnala un abuso;finalmente!;Dopo aver reso un paio di apparecchi a cialde e polvere da cui usciva brodaglia imbevibile- ho acquistato la nespresso Inissia e devo dire che questi primi giorni di uso sono del tutto soddisfacenti. Poco ingombrante- esteticamente gradevole- di facilissimo utilizzo - poco rumorosa-  consente di scegliere tra espresso e caffe' lungo memorizzando addirittura la lunghezza di entrambe le tipologie di caffe' che da quel momento in poi saranno sempre come noi vogliamo. Arriva a corredo un astuccio con 14 capsule Nespresso- caffe' assolutamente cremoso e delizioso. Unico neo finora...Per quanto riguarda il codice promozionale da 40 capsule che si riceve all'acquisto- andrebbe specificato che l'ordine minimo e' da 50 capsule dunque- seppur poco- qualcosa si deve pagare
5;27-set-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Piccolo ingombro- grande caffè!;Veloce la consegna- imballo perfetto- Inissia veramente carina e funzionale e soprattutto- caffè buonissimo! Ho già avuto modo di provare le capsule compatibili Borbone red e gli altri prodotti della linea e sono molto soddisfatta. Finora nessuna capsula si è inceppata o scoppiata- come avevo letto in diverse recensioni. Un plauso inoltre - all’assistenza Amazon e in particolare nella persona di Anita D. Una gentilezza è una disponibilità unica. Non avevo ricevuto il codice sconto previsto di 40 capsule via mail e la signora Anita in pochi secondi me lo ha fornito. Il giorno dopo le capsule nespresso erano già a casa mia. Soddisfattissima del mio acquisto- ne ho già ordinata un’altra per regalarla a mio fratello! Spero che il tempo confermi la mia grande soddisfazione di oggi.
5;27-set-18;Stile: InissiaColore: Giallo Utile Segnala un abuso;Ottima macchina per caffè;Presa in sostituzione di un'altra Inissia che ho dato a mio padre (aveva già 2 anni- ma va ancora perfettamente).E' una macchina affidabile con molta scelta di caspule (originali e non)
5;26-set-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Molto buona;È il terzo modello di Nespresso che compro e devo dire che ancora una volta sono soddisfatta. La uso in ufficio- è discreta e occupa poco spazio. Fa lo stesso rumore delle altre Nespresso- quindi diciamo un po' troppo nel momento dell'inizio dell'erogazione. Il contenitore dell'acqua è abbastanza capiente- noi siamo 4 e ci dura per giorni. Non ha un pulsante on/off.- si accende premendo un tasto caffè- si spegne da sola dopo un pò. Non ha un vero e proprio contenitore per raccogliere acqua e gocce di caffè sotto la tazzina- essendo molto compatta- ma ce l'ha sotto il vano capsule usate- questo significa che per svuotare l'acqua sporca bisogna estrarre anche il contenitore capsule- e la cosa può risultare scomoda a seconda dell'ambiente in cui si usa. Ad ogni modo- il prezzo è ottimo- l'estetica è carina- occupa davvero poco spazio. Consiglio.
5;26-set-18;Stile: InissiaColore: White Utile Segnala un abuso;Un gioiellino;E' la seconda che acquisto sono entrambe perfettamente funzionanti  - Ideale per piccoli nuclei famigliari  1-2- (3)  persone  oltre conviene passare a categoria un pochino superiore.
4;25-set-18;Stile: InissiaColore: Nero Utile Segnala un abuso;Consigliata;Funziona bene ma bisogna svuotarla spesso perché il recipiente delle cartucce usate è piccolino- ne stanno 10. La consiglio
