"title","author","state","date","ver.purchase","helpful","format","stars","comments"
"A Major DOWNGRADE","Zachary Riley","United States ","October 22, 2020",1,3391,"Twilight BlueConfiguration: Echo Dot",1,"I purchased this as i always do with the latest and greatest echo devices. This was a sour Disappointment for someone who is used to amazon improving on their devices yearly.Complaints:1. They shipped my Black echo, with a WHITE cord, In the past the cord color matched the device, why change?2. The charger is Noticeably larger and cheaper looking, sporting rounded corners and a bulky design.3. The sound quality vs my 2nd Gen Dot has actually gotten worse. This speaker lacks bass and is very ""hollow"" sounding. The gen 2 speaker blows the gen 3 out of the water, IMO they majorly cheaped out to get you other features like an Ai core and a bulkier bigger device, in bigger packaging, requiring more shiping cost, a poor trade off for quality.4. Its fabric mesh, and construction seem cheaper than previous generations, it is significantly lighter than a previous gen (my guess is a small speaker magnet and more airspace due to its odd shape)5. Its small, i thought the ball was cool, big and substantially, Like a speaker should be, but its tennis ball sized and looks like a childs toy, or a cheap bluetooth speaker you got for $5.....6. It has this awful ""sheen"" to the plastic that makes it look like some Chinese garbage product....7. The buttons feel awful and cheap compared to previous generations.Pros:It has underglow now.Overall its clear this product was rushed, or had a strict budget in which a lot of its features, and quality were stripped. The gen2 dots are amazing, and if you weren;t going to make them better, why release a gen 3?It costs more, its much much worse in basically every category, and in my opinion, is a complete fail. Its supreme selling a brick because you want it. Buy a gen2, you'll be happier"
"A VERY slight upgrade(?)","C","United States ","October 23, 2020",1,1285,"CharcoalConfiguration: Echo Dot",3,"This new 4th Gen Echo Dot brings a new spherical shape to the Echo Dot lineup.  It is about the same width as the previous Echo 3rd Gen, but since it is a ball now it is obviously a little taller.  The blue light is now on the bottom.  Here are my thought so far:THE GOOD- Bottom ring light.  The new blue light on the bottom actually illuminates the surface that the Dot is sitting on.  This actually makes the light considerably more noticeable, especially if sitting on a semi-reflective surface.- Slightly better sound.  The actual speaker hardware is the same as the 3rd Gen Dot, but this one sounds slightly better to my ear.  This could be because the speaker is pointed toward the front, instead of pointing straight up like it was in the previous model.THE BAD- Aesthetics.  This is personal opinion of course, but I think I prefer the smaller, less noticeable ""hockey puck"" shape of the previous models.  This one is closer to a softball, and stands out much more.  Sure it might be better for creating sound, but I don't use Dots for music listening anyway.  If I wanted to do that I would use a regular Echo or Echo Studio, which of course sound much better than this Dot.  The whole point of the Dot for me was to use it in locations where I wanted a small device that doesn't take up much space.- Price.  The old Gen 3 Dot is now $10 cheaper than this version, and it is really hard for me to justify choosing this Gen 4.  It really seems like you are just paying for the new shape and very slightly better sound, but that doesn't currently seem worth it to me.  There just aren't enough improvements from what I've seen so far.All in all, this new Gen 4 Dot might be worth it for you if you really dig the ball shape and bottom ring light, but otherwise I'd have to recommend sticking with the Gen 3 for $10 less."
"Best smart home system <U+2764><U+FE0F><U+263A><U+FE0F>","Slonskii family","United States ","October 22, 2020",1,857,"Twilight BlueConfiguration: Echo Dot",4,"I’m not a native speaker,I’m sorry for a grammar mistakes.I love my new echo dot! It has a nice sound speaker with an amazing app that’s been improved so much over the years. I received it today and enjoy so much  for so many reasons. It has a really sleek design and an improved sound system from the first generation for sure. I have had Alexa in my house for a couple of years now and it has been a great experience.Highlights of this generation:- Great new sphere design with a light ring on a bottom- Quality of material- Sounds with bass is amazing and I feel it. Will be super nice in stereo mode- Climate Pledge Certified- Easy set up as alwaysbut also have some negative- If you have an old generation Alexa at least 1st and 2nd it won’t pair for multiple room use music,don’t know about 3rd generation-Also it don’t have anymore micro usb,I thought since in 2020 it will be usb C but nope... and this new cord look ridiculesUp to you if you wanna buy it now but probably the best to save some $$ wait until Black Friday on cyber Monday and get it on sale. Will totally buy another one when it will be on sale.P.S. 4 starts for old style ugly cord"
"Black device, white cable","Michael Russo","United States ","October 22, 2020",1,852,"CharcoalConfiguration: Echo Dot",5,"Device is great, but beware... the black ones come with a white cable... unlike the previous model.  No idea why they did this."
"New modern look, same old functions.","CaliFilm","United States ","October 22, 2020",1,466,"CharcoalConfiguration: Echo Dot",4,"Been using amazon's Echo systems for 3 years now.  Started with the 2nd gen of the Echo Dot.  Been pretty good for me around the house so far.  Saw the brand new look of the Echo Dot (4th gen) decided to pre order it.  So far here is my experience,-  Brand new design, the old hockey puck looks is no longer.  Now they have the round ball shape, covered in cloth feel.  This new look is more 3D feel.  Rather than the old flat puck look.  Some might like it, some might not.  But overall its a more modern feel, might fit better with a modern decor/furniture in the house.-  Same buttons, with new feel.  Now the buttons is more of a shaped signed that comes out of the cloth surface.  I guess more of a cleaner looks, and give a more higher quality feel.  But all the functions are the same.-  Speaker, nothing changed.  This is the same old 1.6"" speaker, that was on the 3rd gen.  I can't really tell much of quality differences.-  Power plug, as someone else has mentioned.  This came with a white power cord, even those I got the black Echo Dot.  I guess amazon didn't bother try to match the power cable color to the actual Echo Dot.  So keep that in mind when you deciding on the color of your Echo Dot.-  Output, same old 3.5mm speaker output. For any external speaker connection.  Nothing changed.-  Bluetooth, same old Advanced Audio Distribution Profile (A2DP).-  Wifi, Dual-band Wi-Fi supports 802.11a/b/g/n/ac (2.4 and 5 GHz) networks. Nothing changed.From what I can tell right now none of the functionality changed.  Still the same Echo dot, with 4 buttons, 1.6"" speaker, 3.5mm audio output, bluetooth connection, and wifi.  The biggest change is the appearance!!!  Now it's got a brand new look, with the more modern sphere design, and covered in cloth feel.  Which gives a high quality, and design feel.  More stylish, and better fit into your modern home decor around the house.  This can be part of your decor on your desk.  If you are someone that needs all the decor around the house to fit together, than this Echo Dot will be perfect for you!!  If not, you can save a few dollar, by going with the older model, you won't be missing out on any of the functions."
"Disappointing.","Miranda Gusmano","United States ","October 22, 2020",1,476,"Twilight BlueConfiguration: Echo Dot",1,"This is one of the most infuriating purchases I have made. I recently bought a echo dot 3rd generation on prime day special but couldn't help wonder if the sound quality was different. The 4th generation device's sound is much better. It is a clear and less muffled. Which is great if I didn't need to connect it to anything or what to use any Alexa features. I've spent 4 hours going through every troubleshoot information I can find and no matter what this thing will not connect to my mobile hotspot wifi. I had some similar issues with the 3rd generation but it just took a few extra tries. I even tried to get assistance and they sent me the instructions already included then switched me over to someone else who wanted to start me over again with the same basic help links.This is infuriating because not only does this item not work as its supposed to but I also returned my functional 3rd generation which is now double the price and unavailable."
"So far so good!","Shesinstpete33710","United States ","October 23, 2020",1,390,"Twilight BlueConfiguration: Echo Dot",5,"I have a few Dots around the house.  One decided to have an attitude and she had to be replaced.  Problem with voice recognition.  I still pay the bills around here so she is not here any more!!  HaHa!!  I replaced her with the new Echo Dot 4th Gen in Blue.  How pretty!  It matches my home furnishings.  Love the ball design.  Very different but really kool.  Sound is beautiful.  I love playing music and the tone is great.  I'll update if I run into a problem but so far I'm really pleased with this new design, color and sound.  Highly recommend."
"Tiny size. PHENOMENAL sound.","Minifig","United States ","October 22, 2020",1,408,"Glacier WhiteConfiguration: Echo Dot",5,"Much smaller than expected but the sound is phenomenal. I have almost every single version of the Echo and Echo dot in my house for an easy to use Spotify music setup to surround my upstairs with music but this little orb is the best sounding of the lot. Highly recommended and a great improve over the Dot. I hope that Amazon keeps this style for a while."
"Why Amazon, have you forsaken your loyal customers?","Mikesrt4","United States ","November 28, 2020",1,238,"CharcoalConfiguration: Echo Dot",1,"Let me start here.  I have 6 3rd gen Echo Dots around my home and an Echo Show 8. If you have the 3rd gen, DONT WASTE YOUR TIME/MONEY! I have seen other people make comments to this effect, but was dooped into second guessing them/myself with the thousands upon thousands of reviews for the 4th Gen (mostly being positive). DON'T MAKE THE SAME MISTAKE I DID! The 4th Gen sounds like they put a tiny little tweeter speaker in there and nothing else.  The 3rd gen Echo Dots have far better sound overall with at least SOME semblance of bass...I cannot stress this enough, THE 4TH GEN HAS ZERO BASS! And yes, to all who would comment to my review, I did in fact go into the Alexa App and adjust the sound settings for the bass, etc.  Made ZERO difference! Overall Alexa also just sounds far less ""realistic"" because of this cheap, ineffective speaker as well.  Also, I don't know if other have experienced this, but the 4th Gen was no nearly as streamlined in regards to getting it set up as the 3rd Gen Echo Dots were...I had to spend at least 10 minutes on it before it would properly finish the set up process (vs. maybe 2-3 minutes with the 3rd gen models).  I say SHAME ON YOU AMAZON!! In the past they usually do a decent job of making at least some marginal improvements each model, but this was a complete step in the wrong direction! The only logical scenario I have been able to contemplate is that Amazon looked at their 3rd gen in preparation for the 4th gen models and said ""Hmm, well we're selling a bunch of Echo Dots, but our more expensive Echo models aren't selling nearly as well. Better make the 4th Gen Echo Dots crap so people will be forced to spring for the more expensive model to get better sound quality!"" I'm sure this review will fall on mostly deaf ears for the same above mentioned reason, but if at least a few customers are saved the hassle and disappointment I suffered of wanting to ""upgrade"" their devices (or even just order a new Alexa enabled device)  then it will have been worth the 3 minutes it took me to write this review.  Bottom line, if you're thinking of upgrading, DON'T. It's a downgrade. If you're looking to purchase your first Alexa enabled device (or expanding upon your existing setup), save yourself some time, hassle and money...just order the 3rd Gen model. This is a prime example of the old saying ""Newer doesn't always equate to better."""
"Little Powerful Dot","Lucian A. Sperta","United States ","October 25, 2020",1,144,"CharcoalConfiguration: Echo Dot",5,"I’m loving the full sound, a great upgrade. What I don’t like is the white cord, why not black? Not sure <U+0001F914> who made the decision for the cord to be white. For a little tech toy the sound is really nice for the price. I love the new design, why not add a digital clock on the charcoal design was disappointing but not a huge one. Overall a great sound from a little toy, can’t wait for them to add the new feature that allow me to monitor issues when I’m away at work and alert me real time on my phone....."
"It's clearer and adjustable, I love it!","Brian Remmerde","United States ","November 24, 2020",1,96,"",5,"I don't understand some of the other reviews.Power brick: Yes the power brick is bigger, it's longer, not wider or thicker, but if you read the information, it's because it has advanced power management, it only supplies what's needed and drops lower in standby mode. I uploaded a comparison photo.The cord: Yes the cord is white, I don't see the problem with that, mine is on a table, the cord behind it, I don't see the cord, also, you can use a sharpie and color it how you like or buy cable sleeving and change it that way, or bundle it with other cords and use a cable wrap.The sound: I never understood the 3rd gen dot, the speaker fires down, there are no holes in the fabric area, or under the speaker, if you have one, turn it on it's side, you'll be surprised by the difference! This one has a larger speaker, fires forward and upward, the sound is clearer, crisper, if you want more base or less treble, open the Alexa app, you can adjust bass, midrange and treble to your preference.Placement: it's small and light, you can use a couple of command strips or there's already a mounting device and there will probably be more as people get ideas and invent holders.Microphones: It took me some digging to find out where they put the microphones, there's no schematic yet but looking at the disassembly videos and articles, they appear to be around the buttons on top. I've tried different things, it's in my living room, I tried turning my back to it from 10 feet away, talking to it from my bathroom with the door open, talking from my kitchen pass through with the TV on, so far it's only not responded once out of many times daily, I don't know why it didn't hear me that time but it almost always does.Function: I'm a disabled veteran, 60 years old, and widowed. I have smart lights and switches so I can turn lights on before I enter a room and turn off the ones in the room I just left. Skills, there are thousands of Alexa skills and you can learn to create and publish your own, it has skills for home function, guarding while you're away, alerting you for your home security system, playing games, telling jokes, making lists, looking up information, calling family members who also have an Echo. One thing I found really handy is, you can pair it by bluetooth with your phone, when someone calls you, you can answer and talk hands free, it's very handy when I'm cooking or doing crafts, I don't miss the call and have to call back the person later. There are so many things this does, it's really amazing! You can even have a conversation with Alexa, I was quite surprised by that when I had a 45 minute conversation with her!I'm new to owning the devices but I've had the app in my phone for 3 years and I really love the devices, they make everything easier for me and I now can play music and listen to TV through the devices instead of the small TV speakers. I'm totally addicted now and I'd be really upset if I had to give up my devices, lol!"
"She is deaf.  Needs hearing aids..yuu need to scream at it to respond","Amazon Customer","United States ","October 27, 2020",1,128,"CharcoalConfiguration: Echo Dot",1,"I have 3 dot Gen 3s.  The dot 4 is DEAF.  If the volume is over three you need to scream at it to get her to listen.  Actually wanted the echo  4 and thought i was getting a great deal on the *rush* purchase prime day special.  To my surprise i received the smaller echo dot.  Gen 3 was never DEAF like this turd.  And what is with a white cord on a black unit.  BL seems rushed to production..... UPDATE.  20 minutes after i left this review i received a call from Amazon getting more detail to take to engineering.  Great to know they read these and respond.  Maybe she needs a hearing aid.  Work in process.  Might try to bigger echo that i initially thought i ordered,  i hear it has more mics than the dot.  Thank you amazon.. BREAK: after fighting  to get a word in, i will likeky return it and buy the studio.  There are not enough mics on this to listen.  Anything over volume 3 and it is a screaming contest.  Dont waste your money."
